Data,IP Sorgente,IP Destinatario,TCP Sorgente,TCP Destinatario,Host
2024-09-13 10:53:09,172.24.46.64,216.58.205.42,37182,443,Unknown
2024-09-13 10:53:09,172.24.46.64,216.58.205.42,37182,443,Unknown
2024-09-13 10:53:09,216.58.205.42,172.24.46.64,443,37182,Unknown
2024-09-13 10:53:09,172.24.46.64,216.58.205.42,37182,443,Unknown
2024-09-13 10:53:09,172.24.46.64,216.58.205.42,37182,443,Unknown
2024-09-13 10:53:09,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:09,216.58.205.42,172.24.46.64,443,37182,Unknown
2024-09-13 10:53:09,216.58.205.42,172.24.46.64,443,37182,Unknown
2024-09-13 10:53:09,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:09,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:09,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:09,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:09,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:09,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:09,216.58.205.42,172.24.46.64,443,37182,Unknown
2024-09-13 10:53:09,172.24.46.64,216.58.205.42,37182,443,Unknown
2024-09-13 10:53:09,216.58.205.42,172.24.46.64,443,37182,Unknown
2024-09-13 10:53:09,172.24.46.64,216.58.205.42,37182,443,Unknown
2024-09-13 10:53:09,172.24.46.64,216.58.205.42,37182,443,Unknown
2024-09-13 10:53:09,216.58.205.42,172.24.46.64,443,37182,Unknown
2024-09-13 10:53:09,172.24.46.64,216.58.205.42,37182,443,Unknown
2024-09-13 10:53:09,216.58.205.42,172.24.46.64,443,37182,Unknown
2024-09-13 10:53:09,172.24.46.64,104.18.32.47,39094,443,Unknown
2024-09-13 10:53:09,172.24.46.64,104.18.32.47,39094,443,Unknown
2024-09-13 10:53:09,172.24.46.64,104.18.32.47,39094,443,Unknown
2024-09-13 10:53:09,104.18.32.47,172.24.46.64,443,39094,Unknown
2024-09-13 10:53:09,216.58.205.42,172.24.46.64,443,37182,Unknown
2024-09-13 10:53:09,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:09,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:09,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:09,104.18.32.47,172.24.46.64,443,39084,Unknown
2024-09-13 10:53:09,172.24.46.64,104.18.32.47,39084,443,Unknown
2024-09-13 10:53:09,104.18.32.47,172.24.46.64,443,39094,Unknown
2024-09-13 10:53:09,172.24.46.64,216.58.205.42,37182,443,Unknown
2024-09-13 10:53:09,216.58.205.42,172.24.46.64,443,37182,Unknown
2024-09-13 10:53:09,172.24.46.64,216.58.205.42,37182,443,Unknown
2024-09-13 10:53:09,172.24.46.64,216.58.205.42,37182,443,Unknown
2024-09-13 10:53:09,172.24.46.64,216.58.205.42,37182,443,Unknown
2024-09-13 10:53:09,216.58.205.42,172.24.46.64,443,37182,Unknown
2024-09-13 10:53:09,104.18.32.47,172.24.46.64,443,39094,Unknown
2024-09-13 10:53:09,172.24.46.64,104.18.32.47,39094,443,Unknown
